,number,value,datetime_start,datetime_complete,duration,params_alpha,params_topK,state
109,109,0.031499269297196965,2023-12-18 19:32:49.083434,2023-12-18 19:32:57.663481,0 days 00:00:08.580047,0.427853874233846,585,COMPLETE
110,110,0.03147032587447118,2023-12-18 19:32:57.664406,2023-12-18 19:33:06.002549,0 days 00:00:08.338143,0.4488152482943975,624,COMPLETE
111,111,0.0315169595804313,2023-12-18 19:33:06.003686,2023-12-18 19:33:14.136052,0 days 00:00:08.132366,0.4254481343755338,570,COMPLETE
112,112,0.03151074386178035,2023-12-18 19:33:14.136998,2023-12-18 19:33:23.103775,0 days 00:00:08.966777,0.42499924900753194,567,COMPLETE
113,113,0.03144140617586236,2023-12-18 19:33:23.104724,2023-12-18 19:33:32.600577,0 days 00:00:09.495853,0.4035826125031434,547,COMPLETE
114,114,0.031466482567519063,2023-12-18 19:33:32.601492,2023-12-18 19:33:41.392705,0 days 00:00:08.791213,0.43772872608996993,572,COMPLETE
115,115,0.03149725274725294,2023-12-18 19:33:41.393735,2023-12-18 19:33:49.747157,0 days 00:00:08.353422,0.4282595513300277,557,COMPLETE
116,116,0.03149985449208268,2023-12-18 19:33:49.748135,2023-12-18 19:33:58.544422,0 days 00:00:08.796287,0.4227379010198914,539,COMPLETE
117,117,0.03142073851594602,2023-12-18 19:33:58.545431,2023-12-18 19:34:07.431217,0 days 00:00:08.885786,0.392749644376584,515,COMPLETE
118,118,0.03146126721580113,2023-12-18 19:34:07.432171,2023-12-18 19:34:15.944500,0 days 00:00:08.512329,0.4630444109869422,578,COMPLETE
119,119,0.03148618149265841,2023-12-18 19:34:15.945450,2023-12-18 19:34:24.690328,0 days 00:00:08.744878,0.41587104707881983,566,COMPLETE
120,120,0.031456063726141674,2023-12-18 19:34:24.691300,2023-12-18 19:34:33.265464,0 days 00:00:08.574164,0.43537789381817243,589,COMPLETE
121,121,0.03149058627037924,2023-12-18 19:34:33.266377,2023-12-18 19:34:42.063242,0 days 00:00:08.796865,0.42339040590779914,563,COMPLETE
122,122,0.0314692227030312,2023-12-18 19:34:42.064192,2023-12-18 19:34:51.290256,0 days 00:00:09.226064,0.40825377041957095,530,COMPLETE
123,123,0.03147563216863758,2023-12-18 19:34:51.291186,2023-12-18 19:35:00.715884,0 days 00:00:09.424698,0.44815086781157665,567,COMPLETE
124,124,0.03148473432152212,2023-12-18 19:35:00.716834,2023-12-18 19:35:10.754580,0 days 00:00:10.037746,0.4179159274478329,551,COMPLETE
125,125,0.03142455019074212,2023-12-18 19:35:10.755575,2023-12-18 19:35:19.634399,0 days 00:00:08.878824,0.3989364616717639,574,COMPLETE
126,126,0.03147993018783196,2023-12-18 19:35:19.635327,2023-12-18 19:35:27.982324,0 days 00:00:08.346997,0.44147676843542205,598,COMPLETE
127,127,0.03148365092017961,2023-12-18 19:35:27.983222,2023-12-18 19:35:36.644131,0 days 00:00:08.660909,0.4324969308136579,544,COMPLETE
128,128,0.0314056934717559,2023-12-18 19:35:36.645056,2023-12-18 19:35:45.302987,0 days 00:00:08.657931,0.3832649314571162,556,COMPLETE
129,129,0.031513325836512576,2023-12-18 19:35:45.303916,2023-12-18 19:35:53.899835,0 days 00:00:08.595919,0.42642698613853447,584,COMPLETE
130,130,0.03147706747771537,2023-12-18 19:35:53.900762,2023-12-18 19:36:02.037589,0 days 00:00:08.136827,0.4086534974257513,586,COMPLETE
131,131,0.03150225458191802,2023-12-18 19:36:02.038524,2023-12-18 19:36:10.489056,0 days 00:00:08.450532,0.4242222828613171,581,COMPLETE
132,132,0.03148729257213734,2023-12-18 19:36:10.490026,2023-12-18 19:36:18.875230,0 days 00:00:08.385204,0.4286825554490251,581,COMPLETE
133,133,0.03145077324805328,2023-12-18 19:36:18.876191,2023-12-18 19:36:27.768919,0 days 00:00:08.892728,0.41577686970630773,371,COMPLETE
134,134,0.03147691722497445,2023-12-18 19:36:27.769879,2023-12-18 19:36:36.493920,0 days 00:00:08.724041,0.4418642873104905,593,COMPLETE
135,135,0.03150188685810469,2023-12-18 19:36:36.494892,2023-12-18 19:36:45.014761,0 days 00:00:08.519869,0.4232751439160725,574,COMPLETE
136,136,0.03146374638602639,2023-12-18 19:36:45.015736,2023-12-18 19:36:53.436993,0 days 00:00:08.421257,0.45675915223571956,560,COMPLETE
137,137,0.03145092350079422,2023-12-18 19:36:53.437947,2023-12-18 19:37:01.769432,0 days 00:00:08.331485,0.40311851993210523,605,COMPLETE
138,138,0.03142834604946029,2023-12-18 19:37:01.770371,2023-12-18 19:37:10.822715,0 days 00:00:09.052344,0.3939210120105757,613,COMPLETE
139,139,0.03146347355868103,2023-12-18 19:37:10.823681,2023-12-18 19:37:20.321154,0 days 00:00:09.497473,0.43350466583869246,580,COMPLETE
140,140,0.03148034535987927,2023-12-18 19:37:20.322112,2023-12-18 19:37:29.447468,0 days 00:00:09.125356,0.4129494513534332,569,COMPLETE
141,141,0.031498692010350264,2023-12-18 19:37:29.448482,2023-12-18 19:37:38.440216,0 days 00:00:08.991734,0.42195019242541526,575,COMPLETE
142,142,0.03150686892267223,2023-12-18 19:37:38.441182,2023-12-18 19:37:47.246784,0 days 00:00:08.805602,0.4268821428462636,551,COMPLETE
143,143,0.03148570305629912,2023-12-18 19:37:47.247851,2023-12-18 19:37:56.340364,0 days 00:00:09.092513,0.4439433873487695,551,COMPLETE
144,144,0.031489400064529785,2023-12-18 19:37:56.341346,2023-12-18 19:38:05.015557,0 days 00:00:08.674211,0.42892594748334584,540,COMPLETE
145,145,0.031466363946934105,2023-12-18 19:38:05.017046,2023-12-18 19:38:14.018261,0 days 00:00:09.001215,0.43563469595208537,560,COMPLETE
146,146,0.03145196736194169,2023-12-18 19:38:14.019240,2023-12-18 19:38:22.976434,0 days 00:00:08.957194,0.4056703958542448,565,COMPLETE
147,147,0.03146703613024881,2023-12-18 19:38:22.977449,2023-12-18 19:38:32.181285,0 days 00:00:09.203836,0.4502108537666052,588,COMPLETE
148,148,0.03147868467169009,2023-12-18 19:38:32.182279,2023-12-18 19:38:42.410389,0 days 00:00:10.228110,0.41698653618408216,551,COMPLETE
149,149,0.03150210037515758,2023-12-18 19:38:42.411476,2023-12-18 19:38:51.909974,0 days 00:00:09.498498,0.4246406091251526,545,COMPLETE
150,150,0.03145423301511406,2023-12-18 19:38:51.910907,2023-12-18 19:39:02.230107,0 days 00:00:10.319200,0.43740741068953515,532,COMPLETE
151,151,0.031511981469883224,2023-12-18 19:39:02.235012,2023-12-18 19:39:12.681443,0 days 00:00:10.446431,0.4260952400603976,546,COMPLETE
152,152,0.03150337752345543,2023-12-18 19:39:12.682465,2023-12-18 19:39:21.384493,0 days 00:00:08.702028,0.42798043735516794,557,COMPLETE
153,153,0.031487517951248746,2023-12-18 19:39:21.385540,2023-12-18 19:39:30.106218,0 days 00:00:08.720678,0.41548788318097984,555,COMPLETE
154,154,0.031466613050162476,2023-12-18 19:39:30.107318,2023-12-18 19:39:38.882766,0 days 00:00:08.775448,0.43203821352945626,538,COMPLETE
155,155,0.031477375891236226,2023-12-18 19:39:38.883960,2023-12-18 19:39:47.562136,0 days 00:00:08.678176,0.4455490385396937,567,COMPLETE
156,156,0.03150531499300949,2023-12-18 19:39:47.563099,2023-12-18 19:39:56.212185,0 days 00:00:08.649086,0.42689871726552764,559,COMPLETE
157,157,0.03146428413267813,2023-12-18 19:39:56.213222,2023-12-18 19:40:04.919068,0 days 00:00:08.705846,0.40851894745898093,547,COMPLETE
158,158,0.031443086634149034,2023-12-18 19:40:04.920209,2023-12-18 19:40:13.592685,0 days 00:00:08.672476,0.43713281024462713,524,COMPLETE
159,159,0.03146849120942407,2023-12-18 19:40:13.593641,2023-12-18 19:40:22.358413,0 days 00:00:08.764772,0.4507779236382932,564,COMPLETE
160,160,0.03149439003713634,2023-12-18 19:40:22.359410,2023-12-18 19:40:30.951239,0 days 00:00:08.591829,0.4283378870132377,557,COMPLETE
161,161,0.03149414093390802,2023-12-18 19:40:30.952307,2023-12-18 19:40:39.720749,0 days 00:00:08.768442,0.4181394425525771,570,COMPLETE
162,162,0.0315061255670066,2023-12-18 19:40:39.721787,2023-12-18 19:40:48.462608,0 days 00:00:08.740821,0.4253204799488589,559,COMPLETE
163,163,0.03150409320098458,2023-12-18 19:40:48.463598,2023-12-18 19:40:57.167818,0 days 00:00:08.704220,0.4275246897611695,557,COMPLETE
164,164,0.03147417708946226,2023-12-18 19:40:57.168864,2023-12-18 19:41:06.803541,0 days 00:00:09.634677,0.4317303951143376,558,COMPLETE
165,165,0.03149074838517864,2023-12-18 19:41:06.804631,2023-12-18 19:41:16.155725,0 days 00:00:09.351094,0.44101646571331893,542,COMPLETE
166,166,0.03147593662813893,2023-12-18 19:41:16.156692,2023-12-18 19:41:24.476464,0 days 00:00:08.319772,0.41230196505993566,573,COMPLETE
167,167,0.031438895373481095,2023-12-18 19:41:24.477516,2023-12-18 19:41:34.627714,0 days 00:00:10.150198,0.40257820758179974,548,COMPLETE
168,168,0.03148845900788928,2023-12-18 19:41:34.628768,2023-12-18 19:41:46.314903,0 days 00:00:11.686135,0.4226131589896867,534,COMPLETE
169,169,0.03146351309887601,2023-12-18 19:41:46.316014,2023-12-18 19:42:00.733462,0 days 00:00:14.417448,0.45913091754651714,561,COMPLETE
170,170,0.03146726941739917,2023-12-18 19:42:00.734867,2023-12-18 19:42:15.034472,0 days 00:00:14.299605,0.4335971289682054,577,COMPLETE
171,171,0.03149769164341724,2023-12-18 19:42:15.035624,2023-12-18 19:42:27.587463,0 days 00:00:12.551839,0.4242666371827688,553,COMPLETE
172,172,0.03148835224936284,2023-12-18 19:42:27.588755,2023-12-18 19:42:40.456314,0 days 00:00:12.867559,0.41478537970158913,562,COMPLETE
173,173,0.03149029367293635,2023-12-18 19:42:40.458380,2023-12-18 19:42:54.945649,0 days 00:00:14.487269,0.42839999587583516,549,COMPLETE
174,174,0.03148904815679448,2023-12-18 19:42:54.946677,2023-12-18 19:43:07.515719,0 days 00:00:12.569042,0.4416603559748872,555,COMPLETE
175,175,0.031473805411629474,2023-12-18 19:43:07.516729,2023-12-18 19:43:19.966254,0 days 00:00:12.449525,0.4090719908215308,567,COMPLETE
176,176,0.0315020647889821,2023-12-18 19:43:19.967338,2023-12-18 19:43:33.001768,0 days 00:00:13.034430,0.42084362087089605,541,COMPLETE
177,177,0.031442094175255016,2023-12-18 19:43:33.003555,2023-12-18 19:43:46.482649,0 days 00:00:13.479094,0.3997980806982428,582,COMPLETE
178,178,0.03147320440066576,2023-12-18 19:43:46.483665,2023-12-18 19:43:59.012513,0 days 00:00:12.528848,0.4343277058083241,572,COMPLETE
179,179,0.03147737984525572,2023-12-18 19:43:59.013637,2023-12-18 19:44:11.784590,0 days 00:00:12.770953,0.4480699068103745,559,COMPLETE
180,180,0.03149364668147074,2023-12-18 19:44:11.785934,2023-12-18 19:44:25.039620,0 days 00:00:13.253686,0.4237330255962184,529,COMPLETE
